Prince,Patricia,5,1B
Myers,Valerie,2,1A
Garcia,Miguel,1,1B
Ahrendt,Judy,3,1B
Zucco,Rita,2,4B
Polan,Darren,3,4A
Valenzuela,Kimberly,1,4A
Schreiber,Manuel,1,3A
Hospelhorn,Alice,2,4B
Cramer,Richard,5,4A
Marino,Wayne,1,4A
Anderson,Pauline,3,4B
Thomas,Richard,3,4A
Behrens,Kenneth,4,1B
Dunn,Pamela,3,3B
Briggs,Matthew,3,4A
Yuhasz,Constance,5,4A
Toy,Carmela,1,3A
Gonzalez,Laura,3,4B
Johnson,James,3,3A
Sosa,Mark,3,2A
Miller,Erin,2,2A
Reyes,Miguel,4,1A
Efird,Elizabeth,5,2A
Rosenthal,Nathaniel,2,1B
Caesar,Josie,5,3A
Rivera,Brad,1,1B
Anding,David,1,2B
Haynes,Sabrina,4,4A
Washington,Phyllis,3,4B
Aiello,Keith,5,2A
Langford,Darlene,1,4A
Scott,Kenneth,2,2B
White,Timothy,3,1A
Miller,Amy,5,1B
Gingues,Bennie,3,2A
Schrock,Randolph,3,3A
Calendine,Liza,5,1B
Gonzalez,Ralph,2,2A
Carr,Loretta,1,3A
Robinson,Stacy,3,2A
Enders,Robert,4,2A
Bowes,Robert,2,2B
Canter,Joseph,5,3B
Obiesie,Ruth,4,2B
Wawrzyniak,Ethel,3,3B
Miller,Jasmine,4,2A
Phagan,Darlene,5,1A
Harwell,Edna,4,4B
Burlison,George,3,4A
Seymour,Jonathan,5,2A
Madonia,Kevin,4,1B
Farmer,Linda,5,4A
Duncan,Ronald,5,3A
Meyers,Beth,4,2B
Demmons,Nicholas,2,1A
Turner,Ryan,4,3B
Yeakel,Donald,5,4A
Patch,Christine,5,2B
Jurado,George,3,2A
Cambre,Dale,5,4B
Locke,Earl,3,1A
Williams,Angelica,3,2B
Cooper,Susan,3,3A
Woodward,Jeff,2,4B
Johnson,Jane,4,1A
Gonzalez,Alexander,1,2B
Street,Kristy,4,3B
Rouse,Gene,2,3B
Torres,Jose,1,3A
Atchison,Ramona,1,1A
Garcia,Carol,2,4B
Broyles,Susan,3,4A
Bradfield,James,4,3B
Roberts,Chrissy,2,2B
Borrego,Rhonda,2,1A
Munn,Alfred,2,1A
Wilhoite,Robert,3,1B
Norris,Theodore,3,4A
Buckley,Dennis,5,1B
Harlan,Amy,5,3B
Hoover,Charles,3,1B
Cherian,Michelle,3,4B
Yanez,Marilyn,3,3A
Schaufelberge,Glenn,2,1A
Pasion,Joseph,4,1A
Satterwhite,Brenda,1,2B
Adams,Lorraine,5,3B
Bowman,Emma,1,2A
Pepper,Nicole,4,3B
Schuster,Mary,3,4A
King,William,1,2B
Johnston,Lynne,2,3B
Burdick,Frederick,1,4B
Blomberg,Sophie,4,3B
Hamblin,Tyler,4,3B
Harvey,Robin,5,3A
Sodhi,Susan,3,2A
Valenti,Paula,5,3B
Sirmans,Adan,3,3B
Faulk,Constance,1,3A
Claxton,Richard,1,3B
Enlow,Ron,2,4B
Smith,Dorothy,1,3A
Woody,Janet,4,1A
Sonnier,Paul,2,2B
Sanchez,Nancy,1,1A
Paulsen,Freddy,5,4A
Harrington,Lauren,5,4A
Piatt,Alice,4,1A
Wells,Jerry,2,3A
Mcgarvey,David,4,4A
Leonard,James,1,2B
Herrmann,Ardis,2,2A
Schlenker,Mary,1,4A
Proffitt,Brent,5,4B
